dept,nom,Gazole,SP98,SP95_E10,SP95,lat,lon
02,RELAIS ST QUENTIN CAMILLE GUERIN | Total Access,1.394,1.609,1.489,,49.8337203,3.30088939999996
02,CORA SOISSONS | CORA,1.392,1.5490000000000002,1.469,,49.36919260000001,3.3135709000000584
02,RELAIS SAINTE EUGENIE | Total Access,1.382,1.5590000000000002,1.469,,49.3703817,3.3391610999999557
02,LEADER PRICE TERGNIER | Leader Price,1.3769999999999998,1.514,,1.484,49.65625199999999,3.2916350000000416
02,ESSO VAUXBUIN | Esso Express,1.389,1.618,1.4980000000000002,,49.3644052,3.304219800000056
02,Carrefour Market | Carrefour Market,1.445,1.634,,1.599,49.8354799,3.908732999999984
02,AUTOMOBILES VILLERS SERVICES | Total,1.507,1.725,,1.665,49.2456803,3.095810799999981
02,GARAGE DE LA FORET | Total,1.497,,,1.634,49.2554464,3.0831447000000485
02,VILLERDIS | Leclerc,1.399,,1.499,1.5490000000000002,49.2373863,3.098526200000037
02,RELAIS SOISSONS | Total,1.497,1.682,1.5719999999999998,,49.35685520000001,3.3227114999999685
02,CARREFOUR CONTACT | Carrefour Contact,1.457,1.633,,1.597,49.4060786,3.5152970999999984
02,SARL JP DISTRI | Carrefour Contact,1.398,1.601,,1.509,49.3633979,3.4032929999999624
02,INTERMARCHE VERVINS | Intermarché,1.389,1.535,,1.501,49.840414,3.920026000000007
02,Carrefour Market | Carrefour Market,1.399,1.705,,1.5490000000000002,49.2508138,3.0822107000000187
02,RELAIS DU MOULIN SARL | Avia,1.507,1.624,,1.607,49.2520584,3.05846310000004
02,AUCHAN VIRY NOUREUIL | Auchan,1.425,1.615,1.525,,49.6435725,3.2642189000000603
03,Intermarché | Intermarché,1.39,,1.44,1.47,46.70553899999999,2.6933176000000003
03,Station les portes de l'Allier - SAS Avermes Distribution | Leclerc,1.369,1.5719999999999998,1.4169999999999998,,46.5887884,3.330439599999977
03,Relais Lagarde Bellerive | Total,1.499,1.679,1.569,,46.1177749,3.411040400000047
03,STATION AVIA | Avia,1.519,1.654,1.598,,46.19194599999999,3.264768000000004
03,Charmeil | Total,1.519,,1.577,,46.1544859,3.3943444000000227
